"study","group","id","partner_id","bonus","finalprice","enjoy","age","gender","seller","nice","tough"
"two",30,"WUPUH ","NE9UP ",1,400,4,20,"0",0,1,0
"two",93,"3KZEQ ","56NWQ ",0,NA,1,20,"1",1,0,1
"two",93,"56NWQ ","3KZEQ ",0,NA,2,49,"1",0,0,1
"two",132,"QDEV2 ","DFZAM ",0.4,335,3,19,"0",1,0,1
"two",132,"DFZAM ","QDEV2 ",1.6,335,1,24,"1",0,0,1
"two",139,"A9EEB ","M56SW ",1,400,3,21,"0",1,0,1
"two",139,"M56SW ","A9EEB ",1,400,3,23,"1",0,0,1
"two",130,"5N6C2 ","UFVZ4 ",0.3,325,4,22,"1",1,1,0
"two",130,"UFVZ4 ","5N6C2 ",1.7,325,3,22,"0",0,1,0
"two",138,"V556F ","523G8 ",0,300,3,26,"1",1,1,0
"two",138,"523G8 ","V556F ",2,300,5,22,"0",0,1,0
"two",115,"ZB2TP ","AVP4T ",1,400,4,21,"1",1,1,0
"two",115,"AVP4T ","ZB2TP ",1,400,3,21,"1",0,1,0
"two",146,"R2RFQ ","WEYD7 ",0.5,350,3,22,"0",1,0,1
"two",146,"WEYD7 ","R2RFQ ",1.5,350,3,25,"0",0,0,1
"two",85,"HS6NJ ","A9D6H ",0.5,345,2,23,"1",1,1,0
"two",85,"A9D6H ","HS6NJ ",1.5,345,4,45,"0",0,1,0
"two",147,"YBD6K ","B26TQ ",0,300,2,28,"0",1,1,0
"two",147,"B26TQ ","YBD6K ",2,300,5,23,"0",0,1,0
"two",62,"E3ZVV ","V7NHS ",0.7,370,4,18,"1",1,0,1
"two",62,"V7NHS ","E3ZVV ",1.3,370,4,28,"1",0,0,1
"two",122,"6X9TB ","2AE5K ",0.7,370,4,24,"1",1,1,0
"two",122,"2AE5K ","6X9TB ",1.3,370,5,24,"1",0,1,0
"two",148,"DZ27S ","V5YC2 ",1.1,410,2,20,"1",1,1,0
"two",148,"V5YC2 ","DZ27S ",0.9,410,1,22,"1",0,1,0
"two",116,"NNWK6 ","SG59A ",0,NA,1,21,"1",1,1,0
"two",116,"SG59A ","NNWK6 ",0,NA,1,56,"0",0,1,0
"two",58,"QDHBS ","8SAAC ",1,400,4,30,"1",1,0,1
"two",58,"8SAAC ","QDHBS ",1,400,1,20,"1",0,0,1
"two",47,"DVZWY ","A8N3X ",1.5,450,1,21,"0",1,1,0
"two",47,"A8N3X ","DVZWY ",0.5,450,4,27,"0",0,1,0
"two",118,"DTHRT ","FR2ZD ",0,300,4,72,"0",1,0,1
"two",118,"FR2ZD ","DTHRT ",2,300,4,25,"0",0,0,1
"two",68,"XQ5ND ","NPCHF ",1,400,4,22,"1",1,0,1
"two",68,"NPCHF ","XQ5ND ",1,400,3,18,"0",0,0,1
"two",42,"4M3V5 ","YNBVK ",0.8,375,3,21,"0",1,0,1
"two",42,"YNBVK ","4M3V5 ",1.2,375,4,19,"1",0,0,1
"two",50,"HDHFR ","YYY6A ",0,250,4,22,"0",1,0,1
"two",50,"YYY6A ","HDHFR ",2.5,250,5,25,"1",0,0,1
"two",145,"9BC68 ","J23DU ",0.9,390,5,54,"0",1,1,0
"two",145,"J23DU ","9BC68 ",1.1,390,2,19,"1",0,1,0
